symbol,split,flow_type,horizon_seconds,rows,response_bps,mean_return_bps,abs_signed_flow_musd
btcusdt,train,binance_trade_flow,1,211364640,-0.028513784305172894,-0.11447730347141649,759442.4784651324
btcusdt,train,binance_trade_flow,5,211363577,-0.05109654081312925,-0.2232691136327593,759440.5262754548
btcusdt,train,binance_trade_flow,10,211361120,-0.10907048696341236,-0.23902481370850123,759431.756501657
btcusdt,train,binance_trade_flow,30,211347046,-0.15881723607451656,-0.2258153071877817,759382.2191309283
btcusdt,train,binance_trade_flow,60,211332855,-0.1838086811300003,-0.18966939165976476,759199.4513015267
btcusdt,train,binance_trade_flow,120,211342395,-0.11454982528799383,-0.17665407281525575,759228.1848427104
btcusdt,train,binance_trade_flow,300,211361671,0.2598752164311371,-0.1755003502977826,759429.1196952899
btcusdt,train,binance_liquidation_flow,1,63660,0.8731564808350379,-0.005983075756766354,737.6137748455598
btcusdt,train,binance_liquidation_flow,5,63660,0.7494308216331024,0.018147166561742836,737.6137748455598
btcusdt,train,binance_liquidation_flow,10,63659,0.6208622838515869,0.049778829347535296,737.5540020826597
btcusdt,train,binance_liquidation_flow,30,63650,0.6215733288621053,0.08215320880094429,737.3007739133598
btcusdt,train,binance_liquidation_flow,60,63645,-1.1394939002277484,0.0912962353397914,737.2236358008597
btcusdt,train,binance_liquidation_flow,120,63645,-0.44865117425573897,0.004523014801385255,737.2236358008597
btcusdt,train,binance_liquidation_flow,300,63644,-0.7378921432676774,-0.6093610137336953,737.5592421888598
btcusdt,train,bybit_liquidation_flow,1,124464,0.5155087356776469,-0.2204282652906821,1773.7226585686997
btcusdt,train,bybit_liquidation_flow,5,124464,0.8710797096580087,0.30666876137320587,1773.7226585686997
btcusdt,train,bybit_liquidation_flow,10,124464,-1.0257270138598131,1.9749597207650418,1773.7226585686997
btcusdt,train,bybit_liquidation_flow,30,124431,-2.0986158398280494,2.6779712807697247,1772.5504576910998
btcusdt,train,bybit_liquidation_flow,60,124397,-6.200649076326559,5.69086056809056,1772.1938745602997
btcusdt,train,bybit_liquidation_flow,120,124397,-9.227241802127601,6.881395916471747,1772.1938745602997
btcusdt,train,bybit_liquidation_flow,300,124449,-8.919749278973788,5.806437061255004,1773.6782723752997
btcusdt,validation,binance_trade_flow,1,190497802,-0.04234340173603532,-0.19661403805440375,444734.47807604255
btcusdt,validation,binance_trade_flow,5,190498174,-0.0578914436717137,-0.2677831149855229,444734.93787077075
btcusdt,validation,binance_trade_flow,10,190496767,-0.07523873653789702,-0.2888478636121282,444731.70485608926
btcusdt,validation,binance_trade_flow,30,190496517,-0.0412598362177584,-0.2633087919424965,444730.3287547396
btcusdt,validation,binance_trade_flow,60,190495783,0.0956558292601504,-0.24617358245021867,444726.8431919811
btcusdt,validation,binance_trade_flow,120,190496440,0.1942497728067756,-0.250899073093629,444733.99419273785
btcusdt,validation,binance_trade_flow,300,190490663,0.45534371341010155,-0.18965027139213136,444712.5904705447
btcusdt,validation,binance_liquidation_flow,1,50593,1.0082397698361185,-0.0226993431430964,554.31862870661
btcusdt,validation,binance_liquidation_flow,5,50593,0.9121387782094234,0.06498046021875356,554.31862870661
btcusdt,validation,binance_liquidation_flow,10,50593,0.41159091982224855,0.1282852352260491,554.31862870661
btcusdt,validation,binance_liquidation_flow,30,50592,0.66677291361215,0.05477484727364801,554.3166607366101
btcusdt,validation,binance_liquidation_flow,60,50591,0.8912448550806342,-0.2749132133263998,554.31074769981
btcusdt,validation,binance_liquidation_flow,120,50590,1.7629931989639054,-0.5030029283330042,554.31061426921
btcusdt,validation,binance_liquidation_flow,300,50589,-1.564919247424643,-0.9001879053599207,554.27397736341
btcusdt,validation,bybit_liquidation_flow,1,104190,0.26775051202758826,-0.10562810725128575,1139.5906427802
btcusdt,validation,bybit_liquidation_flow,5,104190,-0.7596742717454031,0.4522102828312791,1139.5906427802
btcusdt,validation,bybit_liquidation_flow,10,104189,-0.9478288834311415,0.4441289783545386,1139.5873916702
btcusdt,validation,bybit_liquidation_flow,30,104190,-2.226127430719529,1.6669260234583323,1139.5906427802
btcusdt,validation,bybit_liquidation_flow,60,104190,-3.369680036446389,1.5097609671752805,1139.5906427802
btcusdt,validation,bybit_liquidation_flow,120,104189,-5.39508211583244,1.3870315068239139,1139.5889097138
btcusdt,validation,bybit_liquidation_flow,300,104189,-4.435936670880317,-0.06731823563090229,1139.5889097138
ethusdt,train,binance_trade_flow,1,388874276,-0.08393242980657376,-0.11469422035383967,723794.0342904364
ethusdt,train,binance_trade_flow,5,388873670,-0.12631572184586368,-0.18867883854563927,723791.2332294674
ethusdt,train,binance_trade_flow,10,388865445,-0.21142820805352325,-0.1862873810910492,723762.2329883461
ethusdt,train,binance_trade_flow,30,388833967,-0.26319548566277606,-0.16219755762226204,723689.4446791897
ethusdt,train,binance_trade_flow,60,388821469,-0.3510930550666069,-0.14692358557586724,723633.1782106196
ethusdt,train,binance_trade_flow,120,388824458,-0.47229057293218646,-0.09619061321782715,723631.7122573428
ethusdt,train,binance_trade_flow,300,388810681,-0.09173888277444342,-0.06685289872481696,723591.6539689066
ethusdt,train,binance_liquidation_flow,1,76627,3.907215750216738,-0.013129702423452315,866.2406783101302
ethusdt,train,binance_liquidation_flow,5,76627,2.407221068653663,0.008384845369026204,866.2406783101302
ethusdt,train,binance_liquidation_flow,10,76625,3.53309596578132,0.08099883565213414,866.2286594581902
ethusdt,train,binance_liquidation_flow,30,76613,0.6327959208133781,0.17674094309897054,866.1337918309302
ethusdt,train,binance_liquidation_flow,60,76606,-0.4425581769472289,0.3609861643487067,866.1166693574102
ethusdt,train,binance_liquidation_flow,120,76608,-4.731467382545272,0.2603990120525866,866.1316076103502
ethusdt,train,binance_liquidation_flow,300,76587,-0.9088927216144052,-0.6868710497357788,865.9472384782403
ethusdt,train,bybit_liquidation_flow,1,97115,1.3880731805624935,-0.7922198954793293,1117.2558144111995
ethusdt,train,bybit_liquidation_flow,5,97115,0.7500487490214361,-0.0541465581228777,1117.2558144111995
ethusdt,train,bybit_liquidation_flow,10,97074,-3.0803441582426383,3.2397731454626713,1116.7885482683996
ethusdt,train,bybit_liquidation_flow,30,97051,-2.6276399666714814,2.587647757103122,1116.6585358908
ethusdt,train,bybit_liquidation_flow,60,97040,-9.127575248668597,9.281009430945113,1116.6007486368999
ethusdt,train,bybit_liquidation_flow,120,97040,-15.3729427889868,15.123855465719794,1116.6007486368999
ethusdt,train,bybit_liquidation_flow,300,97022,-14.696476806738927,12.842358184618568,1115.8489873062001
ethusdt,validation,binance_trade_flow,1,316872881,-0.10609717547670991,-0.16609239245472948,373805.7281534729
ethusdt,validation,binance_trade_flow,5,316873584,-0.2299024678979928,-0.18632928437202387,373806.37493449886
ethusdt,validation,binance_trade_flow,10,316872582,-0.2797151030992425,-0.1984193239737015,373804.46255512134
ethusdt,validation,binance_trade_flow,30,316871262,-0.32428137501366977,-0.14848031303188833,373802.9786856317
ethusdt,validation,binance_trade_flow,60,316867963,-0.15383352245879833,-0.13144113066955446,373795.5287699232
ethusdt,validation,binance_trade_flow,120,316872148,0.048032315533755886,-0.17053698187725008,373799.0765529133
ethusdt,validation,binance_trade_flow,300,316867552,0.47631274628464665,-0.09590690664874095,373794.47542213724
ethusdt,validation,binance_liquidation_flow,1,55135,1.0371047304258456,0.00587175137577207,443.21464710392013
ethusdt,validation,binance_liquidation_flow,5,55135,1.085664225266251,0.14419995109054634,443.21464710392013
ethusdt,validation,binance_liquidation_flow,10,55134,0.6771177226873011,0.20954630679767353,443.21449853810014
ethusdt,validation,binance_liquidation_flow,30,55134,-0.3286467205500578,0.23737791596836996,443.2084262698401
ethusdt,validation,binance_liquidation_flow,60,55131,-1.149222546761891,-0.021115446274186107,443.2127976159601
ethusdt,validation,binance_liquidation_flow,120,55129,0.05328576842941795,-0.20215056117795416,443.21064025822005
ethusdt,validation,binance_liquidation_flow,300,55135,-0.4840527426755594,-0.652346574580856,443.21464710392013
ethusdt,validation,bybit_liquidation_flow,1,63098,0.04925080093913364,0.14256425931246378,528.8665026122999
ethusdt,validation,bybit_liquidation_flow,5,63098,-3.6740915198843886,2.1112625308063167,528.8665026122999
ethusdt,validation,bybit_liquidation_flow,10,63098,-3.6092158624737785,2.080546266832187,528.8665026122999
ethusdt,validation,bybit_liquidation_flow,30,63098,-3.9308270646829953,3.7897294068202867,528.8665026122999
ethusdt,validation,bybit_liquidation_flow,60,63098,-7.798221647058703,3.908115811924503,528.8665026122999
ethusdt,validation,bybit_liquidation_flow,120,63092,-11.374267094828028,4.808452101967591,528.8279731777
ethusdt,validation,bybit_liquidation_flow,300,63098,-12.028827699450911,3.277861029435577,528.8665026122999
